2021-04-30 23:36:07 startup packages remove
2021-04-30 23:36:07 status installed linux-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 remove linux-virtual:amd64 5.4.0.72.75 <none>
2021-04-30 23:36:08 status half-configured linux-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status half-installed linux-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status config-files linux-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status not-installed linux-virtual:amd64 <none>
2021-04-30 23:36:08 status installed linux-headers-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 remove linux-headers-virtual:amd64 5.4.0.72.75 <none>
2021-04-30 23:36:08 status half-configured linux-headers-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status half-installed linux-headers-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status config-files linux-headers-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:08 status not-installed linux-headers-virtual:amd64 <none>
2021-04-30 23:36:08 status installed linux-headers-generic:amd64 5.4.0.72.75
2021-04-30 23:36:08 remove linux-headers-generic:amd64 5.4.0.72.75 <none>
2021-04-30 23:36:08 status half-configured linux-headers-generic:amd64 5.4.0.72.75
2021-04-30 23:36:08 status half-installed linux-headers-generic:amd64 5.4.0.72.75
2021-04-30 23:36:08 status config-files linux-headers-generic:amd64 5.4.0.72.75
2021-04-30 23:36:08 status not-installed linux-headers-generic:amd64 <none>
2021-04-30 23:36:08 status installed linux-headers-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:08 remove linux-headers-5.4.0-72-generic:amd64 5.4.0-72.80 <none>
2021-04-30 23:36:08 status half-configured linux-headers-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:08 status half-installed linux-headers-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:11 status config-files linux-headers-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:11 status not-installed linux-headers-5.4.0-72-generic:amd64 <none>
2021-04-30 23:36:11 status installed linux-headers-5.4.0-72:all 5.4.0-72.80
2021-04-30 23:36:11 remove linux-headers-5.4.0-72:all 5.4.0-72.80 <none>
2021-04-30 23:36:11 status half-configured linux-headers-5.4.0-72:all 5.4.0-72.80
2021-04-30 23:36:11 status half-installed linux-headers-5.4.0-72:all 5.4.0-72.80
2021-04-30 23:36:17 status config-files linux-headers-5.4.0-72:all 5.4.0-72.80
2021-04-30 23:36:17 status not-installed linux-headers-5.4.0-72:all <none>
2021-04-30 23:36:17 status installed linux-image-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:17 remove linux-image-virtual:amd64 5.4.0.72.75 <none>
2021-04-30 23:36:17 status half-configured linux-image-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:17 status half-installed linux-image-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:17 status config-files linux-image-virtual:amd64 5.4.0.72.75
2021-04-30 23:36:17 status not-installed linux-image-virtual:amd64 <none>
2021-04-30 23:36:17 status installed linux-image-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:17 remove linux-image-5.4.0-72-generic:amd64 5.4.0-72.80 <none>
2021-04-30 23:36:17 status half-configured linux-image-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:18 status half-installed linux-image-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:19 status config-files linux-image-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:19 status installed linux-modules-5.4.0-72-generic:amd64 5.4.0-72.80
2021-04-30 23:36:19 remove linux-modules-5.4.0-72-generic:amd64 5.4.0-72.80 <none>
2021-04-30 23:36:19 status half-configured linux-modules-5.4.0-72-generic:amd64 5.4.0-72.80
